id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/41054975	10.2307/41054975	SHAKESPEARE'S WICKED PRONOUN: "A LOVER'S DISCOURSE" AND LOVE STORIES	Zenón Luis Martínez	Atlantis	22	1	2000-06-01T00:00:00Z	pp. 133-162	AEDEAN: Asociación española de estudios anglo-americanos	fla		This paper analyses Shakespeare's treatment of love from the theoretical vantage point of Roland Barthes's entry on "gossip" in A Lovers Discourse: Fragments. According to Barthes, love narratives are the effect of "gossip" third person counterfeits of a discourse of desire that in its purest form can only be addressed by a first to a second person. As the pronoun of gossip, the third person is the "wicked pronoun". Shakespearean drama displays the dialectics of lover, s discourse and love story, the contrast between a discourse of desire and a discourse about others, desires. This contrast is registered in the transformation of a referential universe which exhausts itself in "I" and "you" (the lover's) into forms of discourse where the lover becomes "he" or "she", a "theme" rather than the subject of desire. Shakespeare constructs a heroics of love whose main feature is the lovers, resistance to be narrated by others. But this resistance usually ends up in the lovers, final yielding to thirdperson narratives, sometimes told by others, sometimes by themselves. The analysis of pronominal forms in Twelfth Night (1601), Troilus and Cressida (1602), and Anthony and Cleopatra (1607) constitutes the basis for a wider concern with the effects of third-person narratives upon the shaping of erotic identity in these plays.	
10.2307/25783327	10.2307/25783327	love and labels	Kathie	Off Our Backs	2	6	1972-02-01T00:00:00Z	p. 24	off our backs, inc.	fla			
10.2307/3205242	10.2307/3205242	Love and Order in "King Lear"	Marilyn Gaull	Educational Theatre Journal	19	3	1967-10-01T00:00:00Z	pp. 333-342	The Johns Hopkins University Press	fla			
10.2307/40041058	10.2307/40041058	Review Essay on "The Reasons of Love"	Richard Moran	Philosophy and Phenomenological Research	74	2	2007-03-01T00:00:00Z	pp. 463-475	International Phenomenological Society	brv	The Reasons of Love|Harry G. Frankfurt		
10.2307/3252066	10.2307/3252066	Fiction and Projection: The Construction of Early Modern Sexuality in "Elizabeth" and "Shakespeare in Love"	Ian McAdam	Pacific Coast Philology	35	1	2000-01-01T00:00:00Z	pp. 49-60	Pacific Ancient and Modern Language Association	fla			
10.2307/3816058	10.2307/3816058	The Puritan Art of Love	William Haller, Malleville Haller	Huntington Library Quarterly	5	2	1942-01-01T00:00:00Z	pp. 235-272	University of California Press	fla			
10.2307/20621469	10.2307/20621469	Love Poem to Ginger	Mong-Lan	World Literature Today	83	1	2009-01-01T00:00:00Z	p. 30	University of Oklahoma	fla			
10.2307/1689163	10.2307/1689163	Debate Stirred by New Love Canal Report	R. Jeffrey Smith	Science	217	4558	1982-07-30T00:00:00Z	p. 431	American Association for the Advancement of Science	nws			
10.2307/2926566	10.2307/2926566	Kate Chopin on Divine Love and Suicide: Two Rediscovered Articles	Emily Toth	American Literature	63	1	1991-03-01T00:00:00Z	pp. 115-121	Duke University Press	fla			
10.2307/4623849	10.2307/4623849	The Paradox of Term Limit Support: To Know Them Is NOT to Love Them	Carol S. Weissert, Karen Halperin	Political Research Quarterly	60	3	2007-09-01T00:00:00Z	pp. 516-530	Sage Publications, Inc., University of Utah	fla		The public has evidenced continuing support for state legislative term limits, while those who most closely observe the impacts of term limits often support their repeal or extension. This article examines this paradox of term limit support among two groups of knowledgeable observers-party chairs and lobbyists in Florida. The findings sup the idea that to know term limits is NOT to love them. They also suggest that among these political elites, support for the repeal of term limits is not a matter of self-interest, but rather reflects a concern about the institutional viability of an important state representative body.	
10.2307/346756	10.2307/346756	Classified Bibliography of Articles, Books, and Pamphlets on Sex, Love, Marriage, and Family Relations Published during 1952	Albert Ellis, Ruth R. Doorbar	Marriage and Family Living	15	2	1953-05-01T00:00:00Z	pp. 156-175	National Council on Family Relations	mis			
10.1086/662613	10.1086/662613	Warm It Up with Love: The Effect of Physical Coldness on Liking of Romance Movies	Jiewen Hong, Yacheng Sun	Journal of Consumer Research	39	2	2012-08-01T00:00:00Z	pp. 293-306	The University of Chicago Press	fla		Are romance movies more desirable when people are cold? Building on research on (bodily) feeling-as-information and embodied cognition, we hypothesize that physical coldness activates a need for psychological warmth, which in turn leads to an increased liking for romance movies. Four laboratory experiments and an analysis of online movie rental data provide support for our hypothesis. Specifically, studies 1A and 1B show that physical coldness increases the liking of and willingness to pay for romance movies. Study 2 shows that the effect of physical coldness on liking of romance movies only occurs for people who associate romance movies with psychological warmth. Study 3 shows that people correct for the influence of physical coldness on their liking of romance movies when physical coldness is made salient. In study 4, using data on online movie rentals and historical temperature, we found a negative relationship between weather temperature and preference for romance movies.	
10.2307/25679506	10.2307/25679506	Adulterous Individualism, Socialism, and Free Love in Nineteenth-Century Anti-Suffrage Writing	LISA COCHRAN HIGGINS	Legacy	21	2	2004-01-01T00:00:00Z	pp. 193-209	University of Nebraska Press	fla			
10.2307/40017560	10.2307/40017560	Teachers of Literacy, Love of Reading, and the Literate Self: A Response to Ann Powell-Brown	Kimberley Gomez	Journal of Adolescent & Adult Literacy	49	2	2005-10-01T00:00:00Z	pp. 92-96	International Reading Association	fla			
10.2307/3367516	10.2307/3367516	Extra Supplement: Father of Mercies, God of Love	Alice Flowerdew, John E. West	The Musical Times and Singing Class Circular	41	689	1900-07-01T00:00:00Z	pp. 1-8	Musical Times Publications Ltd.	fla			
10.2307/2904504	10.2307/2904504	Ikons of Love: Love as Power in Poems by Henry Dumas	Nia Damali, Yakini Kemp	Black American Literature Forum	22	2	1988-07-01T00:00:00Z	pp. 213-217	St. Louis University	fla			
10.2307/4434221	10.2307/4434221	Love Songs and Ballads	Frank Howes, H. E. D. Hammond, A. G. Gilchrist, A. Martin Freeman, Ralph Vaughan Williams	Journal of the Folk-Song Society	8	34	1930-12-01T00:00:00Z	pp. 192-213	English Folk Dance + Song Society	fla			
10.2307/40624076	10.2307/40624076	He Was so Desperately in Love	ROBERT FONTAINE	Prairie Schooner	23	1	1949-04-01T00:00:00Z	pp. 96-99	University of Nebraska Press	fla			
10.2307/40158928	10.2307/40158928	Love!	Oleksander Irvanets, V. M. Sosiura, Michael M. Naydan	World Literature Today	79	3/4	2005-09-01T00:00:00Z	pp. 29-30	University of Oklahoma	fla			
10.2307/25076082	10.2307/25076082	Writing Same-Sex Love: Sexology and Literary Representation in Yoshiya Nobuko's Early Fiction	Michiko Suzuki	The Journal of Asian Studies	65	3	2006-08-01T00:00:00Z	pp. 575-599	Association for Asian Studies	fla			
10.2307/20570960	10.2307/20570960	Love Song	William Carlos Williams	Poetry	9	2	1916-11-01T00:00:00Z	pp. 81-82	Poetry Foundation	fla			
10.2307/20636105	10.2307/20636105	Love among the Doctors	Annette L. Noble	The Aldine	4	9	1871-09-01T00:00:00Z	pp. 141-142		fla			
10.2307/23049400	10.2307/23049400	HYMNS AND PROSOPOPOEIA: SAMUEL CROSSMAN'S "MY SONG IS LOVE UNKNOWN"	Alison Shell	Religion & Literature	42	3	2010-12-01T00:00:00Z	pp. 191-198	The University of Notre Dame	fla			
10.2307/3684968	10.2307/3684968	Nomad Love and the War-Machine: Michel Tournier's "Gilles et Jeanne"	Charles J. Stivale	SubStance	20	2	1991-01-01T00:00:00Z	pp. 44-59	University of Wisconsin Press	fla			
10.2307/4312594	10.2307/4312594	Love Canal Continues to Fester as Scientists Bicker over the Evidence	David Dickson	Ambio	9	5	1980-01-01T00:00:00Z	pp. 257-259	Royal Swedish Academy of Sciences, Springer	fla			
10.2307/502974	10.2307/502974	Clarification concerning the Condition of a Marble Head Belonging to Iris C. Love	George M. A. Hanfmann	American Journal of Archaeology	75	4	1971-10-01T00:00:00Z	p. 428	Archaeological Institute of America	fla			
10.2307/1389627	10.2307/1389627	The Morality of Market Exchange: Love, Money, and Contractual Justice	Monica Prasad	Sociological Perspectives	42	2	1999-07-01T00:00:00Z	pp. 181-213	University of California Press	fla		Prostitution as a cultural practice describes the line between what must be given as a gift and what may be exchanged as a commodity; an investigation of prostitution can therefore further our understanding of the ideological underpinnings of commodity exchange. This study uses interviews with prostitutes' clients to show how commodity exchange can be understood as being morally superior to gift exchange. The interviewees praise "market exchange" of sex for lacking the ambiguity, status-dependence, and potential hypocrisy that they see in the "gift exchange" of sex characteristic of romantic relationships. This justification of market exchange suggests that theories of the "moral economy" that posit a dichotomy between "premarket" and "market" societies understate the degree to which market societies are, for their participants, also moral economies: they are economies embodying moral beliefs about individual autonomy, democratic equality, and unambiguous and nondiscretionary fulfillment of obligations. Critics of the market do themselves a disservice in ignoring the powerful moral appeals of market exchange. More generally, sociological analyses that pit "norms" against "self-interest" ignore the ways in which norms can enable as well as constrain self-interested market behavior. /// [Spanish] La prostitución como práctica cultural traza la línea entre lo que se tiene que dar como un regalo y lo que se tiene que dar a cambio como producto; por lo que una investigación de la prostitución puede ser una ulterior comprención del apuntalamiento ideológico del intercambio de producto. Este trabajo se basa en entrevistas con clientes de prostitutas para demostrar cómo el cambio de producto puede ser entendido como moralmente superior que el cambio del regalo. Los entrevistados elogian "el mercado de cambio" de sexo por carecer de ambiguedad, dependencia de estatus, e hipocrecía potencial que ellos ven el el "intercambio de regalo" de las características de sexo de las relaciones románticas. Esta justificación del cambio de mercado sugiere que las teorías de la "economía moral" postulan una dicotomía entre el "pre-mercado" de sociedades y el "mercado" de sociedades que subestima el grado del cual el mercado de sociedades son, para sus participantes, también las economías morales: son economías que materializan creencias morales acerca de la autonomía moral, igualdad democrática y una satisfacción de obligaciones sin ambiguedad y sin discriminación. Críticos del mercado se perjudican ellos mismos al ignorar los fuertes Ilamamientos morales del mercado de cambio. Generalmente, el análisis sociológico que se opone a las "normas" en contra del "auto-interés" ignora las formas en las cuales las normas pueden habilitar, así como también reprimir un comportamiento autointeresado de mercado. /// [Chinese] (Unicode for Chinese abstract). /// [Japanese] (Unicode for Japanese abstract).	
10.2307/691982	10.2307/691982	O Lyric Love	Robert Browning, A. Sidgwick	The Classical Review	10	2	1896-03-01T00:00:00Z	p. 125	Cambridge University Press, The Classical Association	brv			
10.2307/25116431	10.2307/25116431	Love like a New World	Al Lee	The North American Review	251	4	1966-07-01T00:00:00Z	p. 20	University of Northern Iowa	fla			
10.2307/3713737	10.2307/3713737	The Date of Brewer's "Love-Sick King"	A. E. H. Swaen	The Modern Language Review	4	1	1908-10-01T00:00:00Z	pp. 87-88	Modern Humanities Research Association	fla			
10.2307/23531222	10.2307/23531222	THE PRAIRIE MERMAID: LOVE-TESTS OF PIONEER WOMEN	ROBERT H. SOLOMON	Great Plains Quarterly	4	3	1984-07-01T00:00:00Z	pp. 143-151		fla			
10.2307/27879994	10.2307/27879994	To Love, Honor, and Build a Life: A Case For Same-Gender Marriage	Jeffrey G. Gibson	Human Rights	23	3	1996-07-01T00:00:00Z	pp. 22-24	American Bar Association	fla			
10.2307/4610688	10.2307/4610688	Secular Love	David Cornel DeJong	The Antioch Review	25	2	1965-07-01T00:00:00Z	p. 309	Antioch Review, Inc.	fla			
10.2307/2930811	10.2307/2930811	Love Letters	Ann T. Greene	Callaloo		33	1987-10-01T00:00:00Z	pp. 563-569	The Johns Hopkins University Press	fla			
10.2307/40064207	10.2307/40064207	The Look of Love: Gaze Shifts and Person Perception	Malia F. Mason, Elizabeth P. Tatkow, C. Neil Macrae	Psychological Science	16	3	2005-03-01T00:00:00Z	pp. 236-239	Association for Psychological Science, Sage Publications, Inc.	fla		Gaze direction is a vital communicative channel through which people transmit information to each other. By signaling the locus of social attention, gaze cues convey information about the relative importance of objects, including other people, in the environment. For the most part, this information is communicated via patterns of gaze direction, with gaze shifts signaling changes in the objects of attention. Noting the relevance of gaze cues in social cognition, we speculated that gaze shifts may modulate people's evaluations of others. We investigated this possibility by asking participants to judge the likability (Experiment 1) and physical attractiveness (Experiment 2) of targets displaying gaze shifts indicative of attentional engagement or disengagement with the participants. As expected, person evaluation was moderated by the direction of gaze shifts, but only when the judgment under consideration was relevant to participants. We consider how and when gaze shifts may modulate person perception and its associated behavioral products.	
